name,lat,lon,stn_id,fp,dp,info_flag,state,pf
"Lk Georgetown nr Georgetown, TX",30.6676921,-97.727511,08104650,791.0,720.0,1,TX,55.00
"Lk Meredith nr Sanford, TX",35.7105973,-101.5512813,07227900,2936.5,2850.0,1,TX,20.00
"Lk Conroe nr Conroe, TX",30.358541,-95.5610542,08067600,201.0,145.0,1,TX,99.00
"Joe Pool Lk nr Duncanville, TX",32.64346745,-97.0011172,08049800,522.0,466.0,1,TX,103.00
